x,y,regression line
demography age,demography male,y= -18.6466x+1754.6781
demography age,demography female,y= -11.0377x+1093.927
friendships_initiated mean age,friendships_initiated mean male,y= 1.2253x+32.5914
friendships_initiated mean age,friendships_initiated mean female,y= 0.2228x+88.5539
friendships_initiated sd age,friendships_initiated sd male,y= 530.0943x+1519.247
friendships_initiated sd age,friendships_initiated sd female,y= 47.4076x+25790.0
friend_count mean age,friend_count mean male,y= 3.0008x+14.7329
friend_count mean age,friend_count mean female,y= 1.3402x+145.6066
friend_count sd age,friend_count sd male,y= 3794.6651x-77730.0
friend_count sd age,friend_count sd female,y= 1913.4631x+77370.0
likes mean age,likes mean male,y= 0.6546x+53.2636
likes mean age,likes mean female,y= -1.6436x+315.0906
likes sd age,likes sd male,y= 1221.8195x+104900.0
likes sd age,likes sd female,y= -6174.1058x+738800.0
likes_received mean age,likes_received mean male,y= 0.73x+30.8435
likes_received mean age,likes_received mean female,y= -2.2207x+308.5463
likes_received sd age,likes_received sd male,y= 3633.2256x+124600.0
likes_received sd age,likes_received sd female,y= -64040.0x+5409000.0
mobile_likes mean age,mobile_likes mean male,y= 0.2542x+43.8696
mobile_likes mean age,mobile_likes mean female,y= -1.4007x+223.5637
mobile_likes sd age,mobile_likes sd male,y= 845.4372x+67790.0
mobile_likes sd age,mobile_likes sd female,y= -3726.3843x+451300.0
mobile_likes_received mean age,mobile_likes_received mean male,y= 0.4792x+15.4783
mobile_likes_received mean age,mobile_likes_received mean female,y= -1.3011x+179.0889
mobile_likes_received sd age,mobile_likes_received sd male,y= 3431.0547x-75160.0
mobile_likes_received sd age,mobile_likes_received sd female,y= -23190.0x+1972000.0
www_likes mean age,www_likes mean male,y= 0.4004x+9.394
www_likes mean age,www_likes mean female,y= -0.2429x+91.5281
www_likes sd age,www_likes sd male,y= 201.1725x+26540.0
www_likes sd age,www_likes sd female,y= -1325.5813x+180800.0
www_likes_received mean age,www_likes_received mean male,y= 0.2508x+15.3656
www_likes_received mean age,www_likes_received mean female,y= -0.9196x+129.457
www_likes_received sd age,www_likes_received sd male,y= 190.4087x+81650.0
www_likes_received sd age,www_likes_received sd female,y= -11950.0x+1012000.0
friend_count and friendships_initiated friend_count,friend_count and friendships_initiated friendships_initiated,y= 0.4026x+28.4113
likes and likes_received likes,likes and likes_received likes_received,y= 0.794x+18.768
mobile_likes and www_likes mobile_likes,mobile_likes and www_likes www_likes,y= 0.1203x+37.1936
